Velocidade do vento (m/s);Potência (kWh)
6,47;-6,16
6,47;462,5
6,47;447,17
6,47;573,44
6,47;507,17
6,47;488,1
6,47;604,66
6,47;425,66
6,47;-5,94
6,47;571,37
6,47;439,95
6,48;426,17
6,48;442,25
6,48;405,34
6,48;547,43
6,48;579,1
6,48;454,16
6,48;536,09
6,48;541,18
6,48;536,38
6,48;543,18
6,48;458,8
6,49;503,16
6,49;503,28
6,49;511,34
6,49;449,68
6,49;526,41
6,49;537,5
6,49;498,22
6,49;448,22
6,49;450,31
6,49;519,03
6,5;-6,05
6,5;469,59
6,5;511,27
6,5;444,2
6,5;529,48
6,51;507,02
6,51;584,38
6,51;580,88
6,51;436,84
6,51;542,77
6,51;448,5
6,51;521,28
6,52;455,26
6,52;494,84
6,52;499,08
6,52;530,75
6,52;501,43
6,52;544,19
6,53;452,89
6,53;480,36
6,53;535,73
6,53;-6,12
6,53;515,53
6,53;573,4
6,53;560,87
6,53;570,75
6,54;501,07
6,54;447,87
6,54;464,73
6,54;583,15
6,54;491,47
6,54;567,33
6,54;491,85
6,54;562,05
6,55;575,98
6,55;480,68
6,55;473,91
6,55;540,17
6,55;535,04
6,55;491,22
6,55;540,86
6,55;568,78
6,56;569,47
6,56;571,98
6,56;501,81
6,56;533,46
6,56;475,96
6,57;544,14
6,57;475,36
6,58;481,03
6,58;518,38
6,58;471,61
6,58;516,78
6,58;584,18
6,58;569,64
6,58;488,45
6,59;457,66
6,59;453,51
6,59;487,21
6,59;531,63
6,59;596,36
6,59;572,1
6,59;600,65
6,59;502,2
6,59;588,71
6,59;491,81
6,59;569,94
6,59;470,45
6,6;536,14
6,6;588,86
6,6;446,38
6,6;575,22
6,6;524,36
6,6;490,79
6,6;488,76
6,6;596,98
6,6;466,07
6,6;606,88
6,6;470,55
6,61;534,58
6,61;508,58
6,61;457,72
6,61;452,43
6,61;545,26
6,61;605,85
6,61;605,62
6,61;501,74
6,61;532,75
6,61;600,48
6,61;472,55
6,61;471,01
6,61;517,33
6,61;548,17
6,61;633,17
6,61;619,81
6,61;491,3
6,61;467,03
6,62;473,21
6,62;533,23
6,62;497,77
6,62;504,55
6,62;562,19
6,62;529,27
6,62;512,86
6,62;491,37
6,62;551,44
6,63;519,04
6,63;490
6,63;490,28
6,63;473,83
6,63;613,71
6,63;503,83
6,63;494,91
6,63;498,13
6,63;587,43
6,64;-5,68
6,64;565,81
6,64;516,97
6,64;537,72
6,64;536,43
6,65;543,94
6,65;516,46
6,65;478,74
6,65;497,92
6,65;574,08
6,65;586,07
6,65;501,32
6,65;553,8
6,65;553,87
6,66;489,86
6,66;629,39
6,66;614,04
6,66;571,67
6,66;596,69
6,66;490,93
6,66;550,32
6,67;558,57
6,67;619,97
6,67;524,07
6,67;514,25
6,67;583,13
6,67;492,59
6,67;512,92
6,67;553,55
6,67;-6,31
6,67;583,83
6,67;566,02
6,67;548,9
6,67;606,82
6,67;595,68
6,67;485,52
6,68;462,7
6,68;575,88
6,68;568,73
6,68;491,11
6,69;575,99
6,69;592,9
6,69;528,85
6,69;504,39
6,69;603,03
6,69;607,93
6,69;590,7
6,69;509,21
6,7;531,27
6,7;565,13
6,7;528,02
6,71;-6,08
6,71;484,88
6,71;563,23
6,71;651,96
6,71;504,33
6,71;504,59
6,71;504,21
6,72;611,52
6,72;595,95
6,72;467,14
6,72;-6,46
6,72;653,22
6,72;503,86
6,73;490,5
6,73;-8,06
6,73;637,21
6,73;638,95
6,73;516,11
6,74;499,36
6,74;632,92
6,74;622,72
6,74;604,49
6,74;531,03
6,74;646,24
6,74;570,57
6,74;582,71
6,74;627,33
6,74;522
6,75;618,72
6,75;545,7
6,75;517,9
6,75;615,93
6,75;538,26
6,75;504,17
6,75;606,83
6,75;535,87
6,76;590,8
6,76;638,36
6,76;513,67
6,76;628,75
6,76;520,5
6,76;500,26
6,77;622,79
6,77;626,67
6,77;508,02
6,77;588,92
6,77;556,8
6,77;571,43
6,78;607,52
6,78;572,89
6,78;489,24
6,78;603,41
6,78;588,21
6,78;643,15
6,78;544,86
6,78;546,57
6,78;632,5
6,78;659,66
6,78;614,93
6,78;-6,09
6,78;521,78
6,78;605,93
6,78;664,75
6,79;626,91
6,79;527,39
6,79;529,06
6,79;536,84
6,79;523,5
6,79;651,51
6,79;589,1
6,79;565
6,79;535,18
6,79;523,33
6,8;635,53
6,8;530,41
6,8;626,4
6,8;567,15
6,8;542,95
6,8;642,16
6,8;613,32
6,8;524,51
6,8;649,84
6,8;490,06
6,8;595,26
6,8;625,68
6,8;589,46
6,8;649,78
6,8;514,41
6,8;641,34
6,8;517,2
6,81;589,57
6,81;627,11
6,81;609,52
6,81;676,37
6,81;508,55
6,81;508,95
6,81;514,23
6,81;655,79
6,81;698,23
6,81;629,67
6,81;603,45
6,81;536,09
6,81;574,37
6,81;511,82
6,82;-5,98
6,82;652,48
6,82;662,72
6,82;592,46
6,82;577,16
6,82;631,03
6,82;498,46
6,82;680,21
6,82;571,67
6,82;578,34
6,83;617,91
6,83;525,48
6,83;621,46
6,83;572,92
6,83;548,49
6,83;617,97
6,83;634,96
6,83;667,82
6,83;641,19
6,83;563,53
6,83;620,01
6,83;664,08
6,83;632,92
6,83;523,97
6,84;158,22
6,84;527,6
6,84;534,44
6,84;586,24
6,84;608,07
6,85;570,38
6,85;673,11
6,85;671,84
6,85;558,18
6,85;659,31
6,85;641,82
6,85;547,27
6,85;567,95
6,85;649,26
6,85;610,06
6,85;605,57
6,85;529,55
6,85;636,56
6,85;527,86
6,86;548,55
6,86;625,06
6,86;553,73
6,86;650,32
6,86;552,87
6,86;519,95
6,86;560,42
6,86;566,58
6,86;559,82
6,87;705,81
6,87;669,68
6,87;539,16
6,87;632,55
6,87;559,61
6,87;656,34
6,87;566,93
6,87;651,09
6,87;587,87
6,87;561,59
6,88;638,74
6,88;528,29
6,88;536,47
6,88;671,67
6,88;560,31
6,88;696,39
6,88;587,64
6,88;659,56
6,88;555,83
6,88;627,21
6,88;626,78
6,88;674,79
6,89;664,51
6,89;587,58
6,89;675,75
6,89;660,74
6,89;616,36
6,89;597,85
6,89;676,03
6,9;705,63
6,9;-5,66
6,9;606,49
6,9;686,53
6,9;681,14
6,9;554,66
6,9;655,82
6,9;660,86
6,9;545,84
6,9;644,14
6,9;670,91
6,91;562,47
6,91;555,62
6,91;690,25
6,91;565,73
6,91;652,59
6,91;707,11
6,91;607,72
6,91;599,69
6,91;630,21
6,91;608,97
6,92;661,98
6,92;564,3
6,92;672,43
6,92;700,08
6,92;618,37
6,92;608,45
6,92;667,59
6,92;611,81
6,92;618,95
6,92;660,45
6,93;657,17
6,93;714,71
6,93;577,45
6,93;555,11
6,93;586,13
6,94;555,86
6,94;563,96
6,94;581,34
6,94;619,61
6,94;686,89
6,94;601,83
6,94;563,09
6,94;659,45
6,95;719,85
6,95;652,15
6,95;654,3
6,95;621,08
6,95;597,17
6,95;559,78
6,96;631,83
6,96;709,6
6,96;690,73
6,96;689,75
6,96;649,76
6,96;557,03
6,96;633,84
6,97;567,93
6,97;572,33
6,97;683,25
6,97;731,02
6,97;-7,8
6,98;600,19
6,98;603,36
6,98;562,37
6,98;692,74
6,98;595,2
6,98;703,87
6,98;594,81
6,98;694,36
6,98;687,86
6,98;558,43
6,99;582,8
6,99;627,25
6,99;688,42
6,99;711,56
6,99;593,69
6,99;656,17
6,99;706,52
6,99;568,93
6,99;574,57
6,99;692,35
6,99;593,7
7;743,78
7;569,97
7;691,53
7;728,52
7;602,79
7;575,09
7;595,83
7;642,32
7,01;727,3
7,01;582,13
7,01;620,97
7,01;676,03
7,01;566,12
7,01;629,9
7,01;718,79
7,01;671,57
7,02;703,04
7,02;612,19
7,02;649,56
7,02;659,99
7,02;633,86
7,02;653,72
7,02;544,42
7,02;608,47
7,03;-5,95
7,03;574,86
7,03;686,84
7,03;606,72
7,03;728,12
7,03;721,78
7,03;692,05
7,04;603,26
7,04;657,46
7,04;627,69
7,04;602,2
7,04;706,06
7,04;709,45
7,04;705,99
7,04;639,89
7,04;619,23
7,05;709,96
7,05;662,21
7,05;621,33
7,05;615,1
7,05;602,98
7,05;713,78
7,05;668,12
7,05;597,17
7,05;604,76
7,06;592,07
7,06;590,36
7,06;717,2
7,06;726,59
7,06;721,25
7,06;661,95
7,06;669,67
7,06;692,64
7,06;649,05
7,06;709,18
7,06;606,42
7,06;756,57
7,07;616
7,07;651,74
7,07;682,4
7,07;639,28
7,07;690,29
7,07;768,21
7,07;595,12
7,07;757,79
7,08;641,02
7,08;630,87
7,08;764,05
7,08;702,25
7,08;661,21
7,08;711,08
7,08;715,4
7,08;725,87
7,09;792,73
7,09;707,33
7,09;603,43
7,09;684,74
7,09;717,32
7,09;724,6
7,09;747,86
7,09;749,18
7,09;747,65
7,1;617,86
7,1;631,15
7,1;697,96
7,1;746,26
7,11;596,77
7,11;681,2
7,11;686,56
7,11;770,48
7,11;679,38
7,11;739,43
7,11;654,06
7,11;600,86
7,11;712
7,11;773,89
7,11;731,33
7,11;625,98
7,12;693,92
7,12;669,91
7,12;646,58
7,12;634,41
7,12;609,78
7,12;710,97
7,12;657,49
7,12;654,83
7,13;621,37
7,13;676,7
7,13;784,45
7,13;641,87
7,13;748,98
7,13;733,29
7,13;766,5
7,13;752,66
7,13;749,19
7,14;712,52
7,14;602,64
7,14;720,42
7,14;776,1
7,14;795,79
7,14;641,45
7,14;719,58
7,14;686,68
7,15;739,49
7,15;622,39
7,15;702,34
7,15;672,84
7,15;648,65
7,15;767,34
7,15;727,33
7,15;635,94
7,15;690,36
7,15;616,64
7,15;698,01
7,16;635,5
7,16;649,06
7,16;726,88
7,16;720,48
7,16;725,98
7,16;779,54
7,17;621,06
7,17;645,34
7,17;664,06
7,17;680,06
7,17;757,23
7,17;710,04
7,17;647,07
7,17;611,98
7,17;623,65
7,17;825,44
7,18;608,14
7,18;618,26
7,18;759,41
7,18;776,22
7,18;700,67
7,18;694,05
7,18;766,23
7,18;815,04
7,18;712,38
7,18;735,13
7,19;612,96
7,19;824,46
7,19;694,04
7,19;719,53
7,19;731,61
7,19;637,06
7,19;694,21
7,2;635,59
7,2;616,63
7,2;696,83
7,2;678,7
7,2;747,56
7,2;715,71
7,2;640,89
7,2;697,24
7,2;712,91
7,2;713,9
7,2;635,5
7,2;760,47
7,21;729,06
7,21;738,48
7,21;691,09
7,21;760,25
7,21;768,04
7,21;725,39
7,21;778,46
7,21;776,06
7,21;767,61
7,21;649,12
7,21;770,91
7,21;730,54
7,22;634
7,22;783,77
7,22;713,54
7,22;-6,47
7,23;793,83
7,23;777,24
7,23;661,82
7,23;776,68
7,23;653,65
7,23;655,5
7,23;796,68
7,24;658,66
7,24;751,61
7,24;789,08
7,24;667,86
7,24;781,2
7,24;669,03
7,24;685,43
7,24;705,27
7,24;645,56
7,25;711,05
7,25;750,81
7,25;791,94
7,25;792,46
7,25;688,93
7,25;718,08
7,25;774,36
7,26;717,77
7,26;654,89
7,26;741,21
7,26;785,5
7,26;642,54
7,26;632,98
7,26;655,95
7,26;780,71
7,27;683,52
7,27;846,38
7,27;673,8
7,27;773,32
7,27;658,35
7,27;762,27
7,27;673,76
7,27;673,01
7,27;702,53
7,27;658,43
7,27;683,96
7,27;650,41
7,28;771,26
7,28;773,09
7,28;780,1
7,28;739,83
7,28;770,42
7,29;768,57
7,29;676,75
7,29;739,12
7,29;670,4
7,29;827,6
7,29;722,61
7,29;703,8
7,29;672,9
7,3;783,76
7,3;734,7
7,3;806,73
7,3;807,9
7,3;680,78
7,3;792,7
7,3;685,48
7,3;715,4
7,3;668,88
7,3;661,91
7,3;631,41
7,3;776,64
7,31;654,39
7,31;787,84
7,31;750,41
7,31;635,79
7,31;800,81
7,31;747,18
7,31;834,42
7,31;703,93
7,31;762,5
7,31;785,79
7,32;766,42
7,32;762,11
7,32;788,68
7,32;706,89
7,32;810,92
7,32;649,19
7,32;699,86
7,32;714,4
7,33;686
7,33;741,77
7,33;725,67
7,33;832
7,33;828,39
7,33;723,05
7,34;817,06
7,34;801,9
7,34;682,38
7,34;781,34
7,34;804,95
7,34;796,81
7,34;764,1
7,35;801,52
7,35;785,14
7,35;774,91
7,35;664,27
7,35;708,08
7,35;682,16
7,35;677,54
7,35;686,25
7,36;725,04
7,36;833,32
7,36;768,26
7,36;775,01
7,36;693,49
7,36;755,59
7,36;839,32
7,36;808,93
7,36;855,75
7,36;757,16
7,36;711,35
7,36;646,65
7,36;792,24
7,37;793,36
7,37;838,99
7,37;845,52
7,37;701,25
7,37;730,17
7,37;820,71
7,37;745,29
7,37;682,83
7,38;688,97
7,38;787,72
7,38;815,54
7,38;-5,84
7,38;810,29
7,38;745,37
7,38;802,56
7,38;840,1
7,38;708,94
7,39;692,71
7,39;700,43
7,39;842,95
7,39;686,4
7,39;842,62
7,4;775,89
7,4;792,7
7,4;683,88
7,4;843,79
7,4;722,9
7,4;916,21
7,4;753,22
7,4;771,02
7,4;800,56
7,4;808,98
7,41;834,47
7,41;772,86
7,41;829,53
7,41;712,56
7,41;739,48
7,42;863,05
7,42;732,25
7,42;742,55
7,42;775,26
7,42;810,47
7,43;708,81
7,43;753,51
7,43;848,65
7,43;777,09
7,43;840,83
7,43;710,1
7,43;831,32
7,43;739,56
7,44;717,77
7,44;701,09
7,44;862,75
7,44;804,25
7,44;736,99
7,44;783,7
7,44;754,58
7,44;780,88
7,44;715,72
7,45;846,41
7,45;711,78
7,45;892,36
7,45;830,24
7,45;721,16
7,45;865,35
7,45;759,27
7,45;833,51
7,45;798,15
7,45;752,26
7,45;723,97
7,45;770,59
7,45;682,33
7,45;837,33
7,46;842,07
7,46;758,22
7,46;741,94
7,47;847,75
7,47;899,68
7,47;859,77
7,47;859,16
7,47;759,62
7,47;822,04
7,48;846,65
7,48;828,43
7,48;737,42
7,48;881,32
7,48;846,69
7,48;858,67
7,48;738,79
7,48;776,01
7,48;898,84
7,48;809,21
7,49;748,6
7,49;821,07
7,49;738,67
7,49;800,68
7,49;833,41
7,49;773,63
7,49;777,45
7,49;747,91
7,49;805,94
7,49;828,44
7,49;862,96
7,49;791,25
7,5;862,51
7,5;760,35
7,5;865,29
7,5;759,76
7,5;562,38
7,5;769,16
7,51;729,55
7,51;845,46
7,51;846,17
7,51;755,5
7,52;730,95
7,52;899,44
7,52;768,22
7,52;902,9
7,52;824,24
7,52;708,37
7,52;835,93
7,52;888,11
7,52;790,54
7,52;811,92
7,53;815,75
7,53;902,67
7,53;799,39
7,53;720,31
7,53;930,41
7,54;851,46
7,54;927,77
7,54;835,47
7,54;846,27
7,54;834,41
7,54;746,08
7,54;844,68
7,54;716,67
7,54;887,3
7,54;843,41
7,55;871,69
7,55;751,28
7,55;929,86
7,55;794,89
7,55;865,62
7,55;766,02
7,56;875,07
7,56;800,43
7,56;776,01
7,56;871,88
7,56;909,12
7,56;944,61
7,56;901,97
7,57;861,21
7,57;910,29
7,57;744,32
7,57;745,84
7,57;815,93
7,57;861,62
7,57;887,93
7,57;887,2
7,57;851,85
7,57;864,27
7,58;886,99
7,58;886,4
7,58;911,47
7,58;829,79
7,58;855,68
7,58;865,96
7,58;872,36
7,58;883
7,59;751,12
7,59;764,89
7,59;872,85
7,59;820,66
7,59;757,51
7,59;800
7,59;876,79
7,59;761,82
7,59;785,94
7,59;870,57
7,6;876,76
7,6;867,26
7,6;855,69
7,6;764,88
7,6;770,25
7,6;861,04
7,6;771,54
7,6;862,69
7,61;922,78
7,61;794,13
7,61;850,13
7,61;805,27
7,61;802,96
7,61;789,06
7,61;795,64
7,61;873,15
7,62;887,09
7,62;843,87
7,62;770,94
7,62;768,69
7,62;881,68
7,62;794,99
7,62;826,33
7,62;778,4
7,62;813,91
7,62;929,42
7,62;944,06
7,63;797,64
7,63;765,98
7,63;873,79
7,63;920,06
7,63;894,91
7,63;790,51
7,63;800,66
7,63;826,23
7,63;861,86
7,63;880,6
7,63;838,06
7,63;882,8
7,64;848,4
7,64;869,28
7,64;883,73
7,64;792,06
7,64;791,53
7,64;745,95
7,64;920,68
7,64;820,94
7,64;922,01
7,64;767,36
7,65;837,88
7,65;919,76
7,65;827,18
7,65;779,1
7,65;924,24
7,65;790,99
7,65;887,47
7,65;847,95
7,65;818,05
7,65;786,46
7,65;861,18
7,65;855,61
7,66;846,89
7,66;772,78
7,66;796,91
7,66;938,39
7,66;806,33
7,66;837,83
7,66;786,69
7,66;787,1
7,66;771,82
7,66;870,25
7,66;861,89
7,66;857,89
7,66;804,07
7,66;893,64
7,67;854,48
7,67;882,21
7,67;876,29
7,67;837,47
7,68;914,69
7,68;924,54
7,68;758,13
7,68;891,33
7,68;780,53
7,68;869,54
7,68;837,76
7,69;807,84
7,69;870,72
7,69;266,06
7,69;878,26
7,69;766,03
7,7;782,7
7,7;871,73
7,7;805,84
7,7;918,58
7,7;939,91
7,7;945,19
7,7;830,35
7,7;-5,58
7,71;864,05
7,71;924,69
7,71;885,7
7,71;846,97
7,71;774,58
7,71;802,31
7,71;819,23
7,71;905,32
7,71;955,82
7,71;815,65
7,71;812,76
7,71;992,36
7,72;789,03
7,72;797,17
7,72;882,51
7,72;924,94
7,72;874,12
7,72;989,42
7,72;823,73
7,73;889,32
7,73;888,83
7,73;811,35
7,73;813,84
7,73;807,61
7,73;751,22
7,73;822,25
7,73;913,15
7,73;841,1
7,74;832,75
7,74;793,23
7,74;915,22
7,74;876,19
7,74;920,17
7,74;944,56
7,74;809,3
7,75;914
7,75;787,44
7,75;881,39
7,75;782,95
7,75;893,92
7,76;975,26
7,76;904,96
7,76;801,89
7,76;890,52
7,76;922,78
7,76;779,56
7,76;938,48
7,76;893,14
7,77;954,54
7,77;860,04
7,77;947,88
7,77;940,11
7,77;898,98
7,77;831,06
7,77;938,24
7,78;891,35
7,78;945,51
7,78;817,92
7,78;868,73
7,78;956,99
7,78;831,55
7,78;791,46
7,78;850,53
7,78;850,66
7,78;939,23
7,78;864,04
7,79;860,8
7,79;893,52
7,79;968,37
7,79;824,68
7,79;901,81
7,79;957,42
7,8;819,72
7,8;917,27
7,8;990,81
7,8;824,97
7,8;917,63
7,8;817,58
7,8;961,17
7,81;895,37
7,81;905,14
7,81;903,43
7,81;877,4
7,81;946,69
7,81;920
7,81;865,83
7,81;904,59
7,82;927,32
7,82;959,34
7,82;947,29
7,82;819,02
7,82;817,73
7,82;909,99
7,82;936,79
7,82;978,84
7,83;842,13
7,83;849,67
7,83;935,54
7,83;843,46
7,83;960,02
7,83;878,19
7,83;864,47
7,83;949,18
7,83;820,69
7,83;945,43
7,83;816,01
7,83;954,39
7,83;937,25
7,83;974,95
7,84;836,57
7,84;914,32
7,84;912,87
7,84;956,71
7,84;868,79
7,84;1021,16
7,84;856,74
7,84;868,89
7,84;849,04
7,85;872,27
7,85;969,09
7,85;958,98
7,85;860,4
7,85;951,96
7,85;1014,99
7,86;985,9
7,86;900,12
7,86;850,64
7,86;916,57
7,86;854,72
7,87;959,85
7,87;720,12
7,87;1007,3
7,87;838,29
7,87;889,49
7,87;978
7,87;945,5
7,87;855,41
7,87;838,72
7,87;999,4
7,88;842,64
7,88;842,78
7,88;874,19
7,88;823
7,88;990,1
7,88;882,46
7,89;1003,03
7,89;883,11
7,89;870,57
7,89;980,72
7,89;847,6
7,9;807,78
7,9;898,08
7,9;901,46
7,9;992,2
7,9;948,03
7,9;944,47
7,91;849,68
7,91;965,69
7,91;988,52
7,91;949,94
7,92;820,71
7,92;974,6
7,92;851,03
7,92;1018,05
7,92;854,81
7,92;979,85
7,92;892,64
7,93;960,68
7,93;878,17
7,93;827,04
7,93;991,32
7,93;870,55
7,93;841,42
7,94;889,57
7,94;891,96
7,94;901,92
7,94;921,93
7,94;911,08
7,94;952,65
7,94;974,61
7,94;923,72
7,95;963,77
7,95;958,69
7,95;962,08
7,95;932,22
7,95;884,22
7,95;905,51
7,95;878,92
7,95;886,44
7,95;862,33
7,95;984,88
7,95;1019,94
7,95;1039,95
7,95;1008,54
7,96;970,42
7,96;888,34
7,96;968,19
7,96;899,79
7,96;983,37
7,96;1017,5
7,96;988,69
7,96;941,94
7,98;817,58
7,98;912,89
7,98;962,71
7,98;924,7
7,98;888,63
7,98;1028,21
7,98;-6,51
7,98;945,31
7,98;953,49
7,98;877,57
7,99;966,09
7,99;963,53
7,99;1024,47
7,99;902,98
7,99;896,18
7,99;923,18
7,99;969,02
7,99;1016,28
7,99;955,32
7,99;969,21
7,99;1016,52
7,99;995,73
7,99;907,03
8;894,88
8;978,91
8;996,39
8;890,62
8;918,22
8;919,92
8;1039,13
8;987,58
8,01;910,23
8,01;922,13
8,01;928,94
8,01;955,77
8,01;992,77
8,01;1005,31
8,01;1009,85
8,02;1025,25
8,02;972,9
8,02;1004,03
8,02;867,82
8,02;917,74
8,02;907,85
8,02;1039,37
8,03;943,53
8,03;955,68
8,03;990,02
8,03;933,83
8,03;912,3
8,03;924,05
8,04;662,92
8,04;1027,2
8,04;1066,67
8,04;953,05
8,04;956,21
8,05;948,72
8,05;916,97
8,05;1038,49
8,06;1050,55
8,06;863,44
8,06;1007,6
8,06;925,46
8,06;995,52
8,06;928,12
8,07;1056,1
8,07;1036
8,07;988,96
8,07;913,93
8,07;983,23
8,07;914,99
8,07;979,27
8,07;1084,78
8,07;-6,13
8,07;-6,03
8,07;907,94
8,07;952,3
8,08;1031,09
8,08;909,7
8,08;902,44
8,08;906,79
8,08;1028,37
8,08;1013,33
8,08;1040,29
8,08;1007,32
8,08;1040,6
8,08;977,75
8,09;944,35
8,09;1025,22
8,09;1058,43
8,09;913,35
8,1;969,82
8,1;911,94
8,11;1097,84
8,11;992,01
8,11;998,83
8,11;982,87
8,11;1001,37
8,11;1036,76
8,11;916,88
8,12;968,85
8,12;951,44
8,12;1029,73
8,12;-7,1
8,12;1053,06
8,13;1058,13
8,13;1082,53
8,13;980,09
8,13;1102,87
8,13;991,84
8,13;1059,09
8,13;911,64
8,13;1004,89
8,13;980,44
8,13;1043,64
8,13;1043,02
8,14;941,91
8,14;915,48
8,14;943,92
8,14;1026,62
8,14;-6,14
8,14;1113,27
8,15;1049,41
8,15;926,76
8,15;1021,63
8,15;951,08
8,15;1082,92
8,16;1000,29
8,16;1087
8,16;1079,79
8,17;1083,95
8,17;1048,1
8,17;1024,14
8,17;1058,25
8,17;1042,4
8,17;1041,7
8,18;945,2
8,18;968,66
8,18;951,6
8,18;968,86
8,18;1054,47
8,19;935,83
8,19;1024,95
8,19;1075,34
8,2;1066,6
8,2;1013,33
8,2;1110,81
8,2;1013,32
8,2;972,42
8,21;1026
8,21;1097,41
8,21;1100,45
8,21;1072,4
8,21;992,71
8,21;941,62
8,21;1038,6
8,22;1021,03
8,22;1002,8
8,22;1062,76
8,22;965,57
8,22;1055,76
8,22;1035,03
8,22;969,36
8,22;1099,95
8,23;1110,71
8,23;971,58
8,23;1095,26
8,23;999,16
8,23;1064,58
8,23;977,83
8,24;1011,61
8,24;1126,25
8,24;1050,45
8,24;967,78
8,24;1099,76
8,24;1105,59
8,24;1016,73
8,24;1080,34
8,25;1063,01
8,25;1032,64
8,25;1032,19
8,25;1090,35
8,26;1006,57
8,26;1127,79
8,26;1080,83
8,26;1109,76
8,27;955,74
8,27;1016,87
8,28;1023,08
8,28;1061,27
8,28;997,53
8,28;1125,07
8,28;1042,31
8,28;1000,5
8,28;991,79
8,28;1034,98
8,28;1044,74
8,29;961,74
8,29;964,69
8,29;991,68
8,29;1062,21
8,3;1110,95
8,3;1034,41
8,3;1048,91
8,3;1106,38
8,3;1036,27
8,3;1019,81
8,31;1108,39
8,31;1014,74
8,31;1047,42
8,31;1032,52
8,32;1154,64
8,32;1066,32
8,32;1054,89
8,32;954,19
8,32;1078,31
8,33;1119,89
8,33;1013,52
8,33;1043,95
8,33;1102,44
8,33;1108,47
8,33;1098,46
8,33;1090,88
8,33;1112,65
8,34;1109,47
8,34;999,81
8,34;1078,53
8,34;1010,29
8,34;1091,46
8,34;1020,92
8,34;1070,39
8,34;1032,11
8,34;1094,03
8,35;1084,29
8,35;1111,64
8,35;1040,1
8,35;1150,68
8,35;1042,15
8,35;1120,78
8,35;1063,3
8,35;1088,95
8,35;1078,14
8,36;1116,66
8,36;1019,08
8,36;1147,34
8,36;1101,78
8,37;1179,82
8,37;1009,69
8,37;1009,42
8,37;1009,08
8,37;1058,82
8,37;1136,56
8,38;1106,21
8,38;998,75
8,38;1103,93
8,39;1051,81
8,39;1052,46
8,39;1146,71
8,4;1166,1
8,4;1080,77
8,4;1112,65
8,4;1073,99
8,4;1046,79
8,4;1064,88
8,4;1144,59
8,4;1135,48
8,41;1094,85
8,41;1117,64
8,41;1034,65
8,41;1125,7
8,42;1099,11
8,42;1086,48
8,42;1078,62
8,42;1024,23
8,42;1056,52
8,42;1161,54
8,43;1041,61
8,43;1092,21
8,43;1078,48
8,43;1044,59
8,44;1075,05
8,44;1101,76
8,44;1025,74
8,44;1087,49
8,44;1115,62
8,44;1121,25
8,44;1152,44
8,45;1149,15
8,45;1108,27
8,45;1136,84
8,45;1106,79
8,45;1024,87
8,45;1193,33
8,46;1040,73
8,46;1091,2
8,46;1075,89
8,46;1053,26
8,47;1035,95
8,47;1031,11
8,47;1149,19
8,47;1159,48
8,48;1094,65
8,48;1120,8
8,49;1059,06
8,49;1050,64
8,49;1059,14
8,49;1036,59
8,5;1024,92
8,5;1070,62
8,5;1144,09
8,5;1122,89
8,5;1039,73
8,5;1043,83
8,51;1159,6
8,51;1063,31
8,51;1177,61
8,52;1037,35
8,52;1112
8,53;1187,02
8,53;-5,91
8,53;1184,43
8,54;1164,95
8,54;1095,53
8,54;1101,5
8,55;1189,75
8,55;1107,35
8,55;1144,2
8,55;1194,39
8,56;1093,58
8,56;1057,53
8,56;1092,07
8,56;1096,91
8,56;1059,46
8,56;1101,26
8,56;1114,62
8,56;1138,02
8,56;1149,25
8,57;1081,02
8,57;1219,23
8,57;1105,11
8,57;1094,05
8,58;1152,92
8,59;1185,7
8,59;1151,57
8,59;1130,34
8,59;1154,66
8,59;1117,75
8,59;1102,61
8,59;1097,63
8,6;1089,16
8,6;1148,95
8,6;1128,97
8,6;1162,02
8,6;1216,73
8,6;1180,13
8,61;1094,86
8,61;1129,96
8,61;1120,08
8,61;1217,08
8,61;1199,84
8,62;1094,12
8,62;1173,86
8,62;1174,91
8,62;1105,98
8,62;1087,7
8,62;1101,21
8,62;1069,12
8,62;1189,36
8,62;1106,26
8,63;1077,33
8,63;1231,64
8,63;1122,61
8,63;1126,74
8,64;1181,63
8,64;1178,85
8,64;1128,75
8,64;1201,5
8,65;1089,45
8,65;1206,72
8,65;1073,47
8,65;1238,25
8,66;1221,72
8,66;1182,21
8,66;1126,88
8,66;1211,66
8,66;1184,57
8,66;1071,59
8,66;1161,1
8,66;1182,14
8,66;1182,28
8,66;1093,12
8,66;1163,67
8,67;1108,22
8,67;1171,28
8,67;1192,74
8,67;1194,24
8,67;1178,29
8,67;1173
8,68;1182,85
8,68;1070,1
8,68;1162,95
8,68;1118,75
8,68;1168,33
8,68;1142,15
8,69;1091,49
8,69;1184,64
8,69;1156,23
8,7;1165,94
8,7;1136,65
8,7;1161,4
8,7;1157,12
8,7;1124,74
8,71;1210,27
8,71;1214,89
8,71;1147,23
8,71;1179,64
8,71;-6,54
8,71;1198,41
8,71;1126,4
8,72;1196,33
8,72;1133,44
8,72;1283,67
8,73;1185,47
8,73;1149,2
8,74;1159
8,74;1168,49
8,74;1132,64
8,74;1205,25
8,74;1134,38
8,75;1204,11
8,75;1237,42
8,75;1246,79
8,75;1083,43
8,76;1176,46
8,76;1231,4
8,77;1141,45
8,77;1130,65
8,77;1174,57
8,77;1146,85
8,77;1193,46
8,78;1278,84
8,78;1234,46
8,78;1113,08
8,78;1158,84
